ccode,year,gdp_c2000,gdp_current,gdp_pcppp_c2000,gdp_pcppp_current
ABW,1976,,,,
ABW,1977,,,,
ABW,1978,,,,
ABW,1979,,,,
ABW,1980,,,,
ABW,1981,,,,
ABW,1982,,,,
ABW,1983,,,,
ABW,1984,,,,
ABW,1985,,,,
ABW,1986,,,,
ABW,1987,,,,
ABW,1988,,,,
ABW,1989,,,,
ABW,1990,,,,
ABW,1991,,872000000,,
ABW,1992,,959000000,,
ABW,1993,,1080000000,,
ABW,1994,,1250000000,,
ABW,1995,,1320000000,,
ABW,1996,,1380000000,,
ABW,1997,,1530000000,,
ABW,1998,,1670000000,,
ABW,1999,,1730000000,,
ABW,2000,,1860000000,,
ABW,2001,,1890000000,,
ABW,2002,,1880000000,,
ABW,2003,,,,
ABW,2004,,,,
ADO,1976,,,,
ADO,1977,,,,
ADO,1978,,,,
ADO,1979,,,,
ADO,1980,,,,
ADO,1981,,,,
ADO,1982,,,,
ADO,1983,,,,
ADO,1984,,,,
ADO,1985,,,,
ADO,1986,,,,
ADO,1987,,,,
ADO,1988,,,,
ADO,1989,,,,
ADO,1990,,,,
ADO,1991,,,,
ADO,1992,,,,
ADO,1993,,,,
ADO,1994,,,,
ADO,1995,,,,
ADO,1996,,,,
ADO,1997,,,,
ADO,1998,,,,
ADO,1999,,,,
ADO,2000,,,,
ADO,2001,,,,
ADO,2002,,,,
ADO,2003,,,,
ADO,2004,,,,
AFG,1976,,2560000000,,
AFG,1977,,2950000000,,
AFG,1978,,3300000000,,
AFG,1979,,3700000000,,
AFG,1980,,3640000000,,
AFG,1981,,3480000000,,
AFG,1982,,,,
AFG,1983,,,,
AFG,1984,,,,
AFG,1985,,,,
AFG,1986,,,,
AFG,1987,,,,
AFG,1988,,,,
AFG,1989,,,,
AFG,1990,,,,
AFG,1991,,,,
AFG,1992,,,,
AFG,1993,,,,
AFG,1994,,,,
AFG,1995,,,,
AFG,1996,,,,
AFG,1997,,,,
AFG,1998,,,,
AFG,1999,,,,
AFG,2000,,,,
AFG,2001,,2460000000,,
AFG,2002,,4040000000,,
AFG,2003,,4600000000,,
AFG,2004,,5760000000,,
AGO,1976,,,,
AGO,1977,,,,
AGO,1978,,,,
AGO,1979,,,,
AGO,1980,6750000000,,,
AGO,1981,6320000000,,,
AGO,1982,6320000000,,,
AGO,1983,6580000000,,,
AGO,1984,6980000000,,,
AGO,1985,7220000000,6800000000,1996.999,1391.188
AGO,1986,7420000000,6360000000,1989.2321,1416.67
AGO,1987,8010000000,7380000000,2053.0271,1502.473
AGO,1988,8460000000,7980000000,2385.939,1806.0031
AGO,1989,8490000000,9280000000,2328.77,1829.615
AGO,1990,8460000000,10300000000,2395.5281,1954.859
AGO,1991,8360000000,12200000000,2261.6299,1910.114
AGO,1992,7790000000,5780000000,2714.3701,2345.2771
AGO,1993,5860000000,5290000000,1968.215,1739.652
AGO,1994,6070000000,4060000000,2537.71,2290.3201
AGO,1995,6700000000,5040000000,1782.656,1641.681
AGO,1996,7450000000,7530000000,1806.839,1695.629
AGO,1997,8040000000,7680000000,1778.041,1696.476
AGO,1998,8580000000,6450000000,1906.957,1839.693
AGO,1999,8860000000,6150000000,2031.097,1987.766
AGO,2000,9130000000,9130000000,1911.589,1911.589
AGO,2001,9420000000,8940000000,1894.182,1939.282
AGO,2002,10800000000,10800000000,2046.9611,2127.9661
AGO,2003,11100000000,13800000000,2022.1281,2140.519
AGO,2004,12400000000,20100000000,2135.7849,2307.752
ALB,1976,,,,
ALB,1977,,,,
ALB,1978,,,,
ALB,1979,,,,
ALB,1980,2840000000,,,
ALB,1981,3000000000,,,
ALB,1982,3090000000,,,
ALB,1983,3130000000,,,
ALB,1984,3090000000,1920000000,3398.5691,2297.0659
ALB,1985,3140000000,1970000000,3392.1179,2363.083
ALB,1986,3320000000,2170000000,3515.582,2503.6899
ALB,1987,3290000000,2160000000,3419.374,2502.4109
ALB,1988,3250000000,2130000000,3304.519,2501.3091
ALB,1989,3560000000,2340000000,3517.958,2763.9109
ALB,1990,3220000000,2100000000,3145.9419,2567.2319
ALB,1991,2340000000,1140000000,2309.5149,1950.557
ALB,1992,2170000000,710000000,2190.9009,1892.988
ALB,1993,2380000000,1230000000,2339.8149,2068.1001
ALB,1994,2600000000,1990000000,2557.844,2308.49
ALB,1995,2830000000,2420000000,2774.9971,2555.5471
ALB,1996,3090000000,3010000000,3068.321,2879.468
ALB,1997,2780000000,2160000000,2782.3589,2654.7209
ALB,1998,3130000000,2740000000,3133.7681,3023.229
ALB,1999,3440000000,3450000000,3472.821,3398.7329
ALB,2000,3690000000,3690000000,3688.6509,3688.6509
ALB,2001,3980000000,4100000000,3917.116,4010.3811
ALB,2002,4160000000,4500000000,4105.439,4267.9058
ALB,2003,4410000000,5710000000,4321.7119,4574.7368
ALB,2004,4690000000,7590000000,4578.7192,4947.3848
ANT,1976,,,,
ANT,1977,,,,
ANT,1978,,,,
ANT,1979,,,,
ANT,1980,,986000000,,
ANT,1981,,1120000000,,
ANT,1982,,1180000000,,
ANT,1983,,1200000000,,
ANT,1984,,1180000000,,
ANT,1985,,1170000000,,
ANT,1986,,,,
ANT,1987,,,,
ANT,1988,,,,
ANT,1989,,,,
ANT,1990,,,,
ANT,1991,,,,
ANT,1992,,,,
ANT,1993,,,,
ANT,1994,,,,
ANT,1995,,,,
ANT,1996,,,,
ANT,1997,,,,
ANT,1998,,,,
ANT,1999,,,,
ANT,2000,,,,
ANT,2001,,,,
ANT,2002,,,,
ANT,2003,,,,
ANT,2004,,,,
ARE,1976,26800000000,12900000000,45141.379,18126.66
ARE,1977,31400000000,16200000000,44284.27,18910.711
ARE,1978,30700000000,15600000000,36256.91,16570.66
ARE,1979,38300000000,20900000000,38096.18,18857.609
ARE,1980,48500000000,29600000000,45456.27,24544.43
ARE,1981,49900000000,32900000000,45033.289,26599.91
ARE,1982,45700000000,30800000000,38796.012,24311.49
ARE,1983,43300000000,27900000000,35077.629,22850.641
ARE,1984,45300000000,27700000000,35047.91,23688.609
ARE,1985,42300000000,27000000000,29761.311,20732.9
ARE,1986,34400000000,21700000000,23687.23,16869.32
ARE,1987,36500000000,23800000000,23952.381,17529.15
ARE,1988,35600000000,23700000000,21804.801,16504.83
ARE,1989,40400000000,27500000000,23406.891,18389.801
ARE,1990,47500000000,34100000000,25784.211,21041.09
ARE,1991,47600000000,34400000000,24432.75,20635.27
ARE,1992,48900000000,35900000000,23723.529,20497.66
ARE,1993,48500000000,36000000000,22231.93,19650.211
ARE,1994,49500000000,36700000000,20591.359,18583.99
ARE,1995,52600000000,40000000000,19617.609,18066.221
ARE,1996,57900000000,44600000000,20823.619,19541.939
ARE,1997,59100000000,49300000000,21430.689,20447.58
ARE,1998,59900000000,46500000000,20010.789,19304.939
ARE,1999,62600000000,55000000000,,
ARE,2000,70300000000,70300000000,,
ARE,2001,72700000000,69200000000,,
ARE,2002,74000000000,71000000000,,
ARE,2003,,,,
ARE,2004,,,,
ARG,1976,181000000000,51200000000,10495.95,4214.6802
ARG,1977,194000000000,56800000000,11145.5,4759.4609
ARG,1978,185000000000,58100000000,10471.86,4786.001
ARG,1979,204000000000,69300000000,11403.81,5644.8892
ARG,1980,212000000000,77000000000,11695.61,6315.127
ARG,1981,200000000000,78700000000,11024.6,6511.9248
ARG,1982,190000000000,84300000000,10722.23,6719.0791
ARG,1983,198000000000,104000000000,10931.26,7120.957
ARG,1984,202000000000,79100000000,10947.24,7399.1528
ARG,1985,187000000000,88100000000,9987.8496,6957.9312
ARG,1986,201000000000,106000000000,10526.63,7496.7461
ARG,1987,207000000000,109000000000,10699.68,7830.3799
ARG,1988,202000000000,127000000000,10260.48,7766.5229
ARG,1989,187000000000,76600000000,9791.1982,7692.5288
ARG,1990,182000000000,141000000000,9061.5078,7394.6021
ARG,1991,205000000000,190000000000,9965.3477,8416.4756
ARG,1992,230000000000,229000000000,10740.27,9279.8369
ARG,1993,243000000000,237000000000,11158.78,9862.9492
ARG,1994,258000000000,257000000000,11679.46,10540.88
ARG,1995,250000000000,258000000000,11251.91,10362.09
ARG,1996,264000000000,272000000000,11757.79,11034.1
ARG,1997,286000000000,293000000000,12578.4,12001.38
ARG,1998,297000000000,299000000000,12963.98,12506.7
ARG,1999,287000000000,284000000000,12410.04,12145.29
ARG,2000,284000000000,284000000000,12185.22,12185.22
ARG,2001,272000000000,269000000000,11560.37,11835.62
ARG,2002,242000000000,102000000000,10134.13,10535.17
ARG,2003,264000000000,130000000000,10920.35,11559.71
ARG,2004,287000000000,152000000000,11775.31,12723.42
ARM,1976,,,,
ARM,1977,,,,
ARM,1978,,,,
ARM,1979,,,,
ARM,1980,,,,
ARM,1981,,,,
ARM,1982,,,,
ARM,1983,,,,
ARM,1984,,,,
ARM,1985,,,,
ARM,1986,,,,
ARM,1987,,,,
ARM,1988,,,,
ARM,1989,,,,
ARM,1990,2820000000,2260000000,3341.2729,2726.6299
ARM,1991,2490000000,2070000000,2857.156,2413.0811
ARM,1992,1450000000,1270000000,2009.5229,1736.2729
ARM,1993,1320000000,1200000000,1694.146,1497.41
ARM,1994,1390000000,1320000000,1668.1541,1505.533
ARM,1995,1490000000,1470000000,1814.853,1671.332
ARM,1996,1570000000,1600000000,1895.72,1779.04
ARM,1997,1630000000,1640000000,1927.542,1839.118
ARM,1998,1750000000,1890000000,2155.0681,2079.051
ARM,1999,1800000000,1850000000,2257.031,2208.8811
ARM,2000,1910000000,1910000000,2421.9851,2421.9851
ARM,2001,2090000000,2120000000,2669.166,2732.718
ARM,2002,2370000000,2380000000,3018.842,3138.3081
ARM,2003,2700000000,2810000000,3467.95,3670.99
ARM,2004,2970000000,3550000000,3907.0769,4221.6641
ASM,1976,,,,
ASM,1977,,,,
ASM,1978,,,,
ASM,1979,,,,
ASM,1980,,,,
ASM,1981,,,,
ASM,1982,,,,
ASM,1983,,,,
ASM,1984,,,,
ASM,1985,,,,
ASM,1986,,,,
ASM,1987,,,,
ASM,1988,,,,
ASM,1989,,,,
ASM,1990,,,,
ASM,1991,,,,
ASM,1992,,,,
ASM,1993,,,,
ASM,1994,,,,
ASM,1995,,,,
ASM,1996,,,,
ASM,1997,,,,
ASM,1998,,,,
ASM,1999,,,,
ASM,2000,,,,
ASM,2001,,,,
ASM,2002,,,,
ASM,2003,,,,
ASM,2004,,,,
ATG,1976,,,,
ATG,1977,223000000,66144444,3607.3521,1540.447
ATG,1978,232000000,74855552,3790.9651,1732.6021
ATG,1979,249000000,92240736,4147.0698,2052.8
ATG,1980,271000000,110000000,4476.0122,2416.855
ATG,1981,282000000,125000000,4667.958,2757.2339
ATG,1982,282000000,138000000,4712.0278,2952.79
ATG,1983,295000000,153000000,4816.019,3137.302
ATG,1984,324000000,174000000,5246.3682,3545.978
ATG,1985,350000000,202000000,5710.6572,3978.269
ATG,1986,395000000,246000000,7394.8662,5266.3979
ATG,1987,427000000,287000000,7891.0142,5774.9038
ATG,1988,450000000,339000000,7796.8711,5901.73
ATG,1989,476000000,373000000,8460.8047,6647.2949
ATG,1990,488000000,392000000,8612.7813,7028.4209
ATG,1991,498000000,410000000,8405.1982,7098.814
ATG,1992,503000000,424000000,8366.6572,7228.98
ATG,1993,530000000,457000000,8601.9609,7603.042
ATG,1994,563000000,500000000,9139.6934,8248.7041
ATG,1995,540000000,494000000,8735.2695,8044.4722
ATG,1996,576000000,541000000,9323.2246,8749.3857
ATG,1997,604000000,580000000,9571.7148,9132.623
ATG,1998,631000000,620000000,9468.7158,9134.7236
ATG,1999,657000000,652000000,9889.6055,9678.626
ATG,2000,679000000,679000000,10021.81,10021.81
ATG,2001,689000000,710000000,9402.5742,9626.4463
ATG,2002,704000000,727000000,9731.3037,10116.4
ATG,2003,738000000,759000000,9913.6689,10494.09
ATG,2004,769000000,803000000,10095.15,10907.99
AUS,1976,182000000000,112000000000,16131.44,6477.6279
AUS,1977,183000000000,111000000000,16170.9,6905.4561
AUS,1978,193000000000,129000000000,16758.189,7659.0708
AUS,1979,198000000000,144000000000,17051.461,8440.4746
AUS,1980,204000000000,166000000000,17257.25,9318.1748
AUS,1981,211000000000,193000000000,17807.73,10518.53
AUS,1982,205000000000,183000000000,16859.109,10564.75
AUS,1983,216000000000,184000000000,17596.631,11462.98
AUS,1984,227000000000,198000000000,18374.84,12419.41
AUS,1985,236000000000,174000000000,18877.34,13150.7
AUS,1986,242000000000,182000000000,18930.711,13481.88
AUS,1987,255000000000,218000000000,19724.211,14434.83
AUS,1988,265000000000,275000000000,20289.15,15357.58
AUS,1989,275000000000,304000000000,20779.24,16325.37
AUS,1990,274000000000,311000000000,20608.199,16817.23
AUS,1991,275000000000,317000000000,20273.289,17122.301
AUS,1992,285000000000,313000000000,20644.59,17837.391
AUS,1993,296000000000,304000000000,21184.619,18724.52
AUS,1994,309000000000,345000000000,22036.779,19888.51
AUS,1995,322000000000,373000000000,22708.52,20912.699
AUS,1996,334000000000,415000000000,23174.67,21748.279
AUS,1997,349000000000,417000000000,23824,22731.1
AUS,1998,368000000000,372000000000,24767.9,23894.26
AUS,1999,381000000000,404000000000,25353.439,24812.561
AUS,2000,389000000000,389000000000,25569.061,25569.061
AUS,2001,404000000000,370000000000,26234.631,26859.27
AUS,2002,415000000000,409000000000,26619.289,27672.711
AUS,2003,431000000000,522000000000,27338.84,28939.461
AUS,2004,444000000000,631000000000,27872.23,30116.42
AUT,1976,106000000000,41700000000,16830.93,6758.5088
AUT,1977,111000000000,50000000000,17652.721,7538.2388
AUT,1978,111000000000,60200000000,17599.279,8043.4761
AUT,1979,116000000000,71600000000,18522.711,9168.7461
AUT,1980,119000000000,79500000000,18930.961,10221.91
AUT,1981,119000000000,68800000000,18914.551,11172.3
AUT,1982,121000000000,68900000000,19263.949,12071.74
AUT,1983,125000000000,69600000000,19848.439,12929.88
AUT,1984,125000000000,65700000000,19932.961,13472.53
AUT,1985,128000000000,67000000000,20401.73,14212.65
AUT,1986,131000000000,95400000000,20875.711,14867.04
AUT,1987,133000000000,120000000000,21194.609,15510.91
AUT,1988,138000000000,128000000000,21774.48,16481.881
AUT,1989,144000000000,128000000000,22555.051,17720.551
AUT,1990,151000000000,162000000000,23308.449,19020.75
AUT,1991,156000000000,169000000000,24110.02,20362.711
AUT,1992,159000000000,190000000000,24336.59,21027.359
AUT,1993,160000000000,186000000000,24270.16,21451.75
AUT,1994,164000000000,199000000000,24822.25,22402.439
AUT,1995,167000000000,235000000000,25358.83,23353.42
AUT,1996,170000000000,231000000000,25632.439,24054.779
AUT,1997,173000000000,206000000000,26107.859,24910.189
AUT,1998,179000000000,212000000000,27107.631,26151.461
AUT,1999,184000000000,210000000000,27902.66,27307.4
AUT,2000,190000000000,190000000000,28780.689,28780.689
AUT,2001,192000000000,190000000000,29001.439,29691.961
AUT,2002,195000000000,206000000000,29014.66,30162.869
AUT,2003,196000000000,253000000000,29227.15,30938.32
AUT,2004,200000000000,290000000000,29778.131,32175.779
AZE,1976,,,,
AZE,1977,,,,
AZE,1978,,,,
AZE,1979,,,,
AZE,1980,,,,
AZE,1981,,,,
AZE,1982,,,,
AZE,1983,,,,
AZE,1984,,,,
AZE,1985,,,,
AZE,1986,,,,
AZE,1987,,,,
AZE,1988,,,,
AZE,1989,,,,
AZE,1990,8950000000,8860000000,,
AZE,1991,8890000000,8790000000,,
AZE,1992,6880000000,4990000000,,
AZE,1993,5290000000,3970000000,2617.0459,2313.136
AZE,1994,4250000000,3310000000,2076.7981,1874.34
AZE,1995,3750000000,3050000000,1817.147,1673.4449
AZE,1996,3800000000,3180000000,1848.254,1734.495
AZE,1997,4020000000,3960000000,1903.364,1816.049
AZE,1998,4420000000,4450000000,2075.095,2001.899
AZE,1999,4750000000,4580000000,2224.3311,2176.8779
AZE,2000,5270000000,5270000000,2570.9441,2570.9441
AZE,2001,5800000000,5710000000,2810.4309,2877.3469
AZE,2002,6410000000,6240000000,3095.614,3218.1179
AZE,2003,7120000000,7140000000,3417.3701,3617.448
AZE,2004,7920000000,8520000000,3863.52,4174.6001
BDI,1976,460000000,448000000,741.53912,297.7673
BDI,1977,513000000,548000000,803.92963,343.30191
BDI,1978,508000000,610000000,780.91138,356.90341
BDI,1979,517000000,783000000,765.24078,378.79431
BDI,1980,522000000,920000000,741.37549,400.311
BDI,1981,585000000,969000000,813.85107,480.71921
BDI,1982,579000000,1010000000,787.15503,493.27011
BDI,1983,601000000,1080000000,794.90051,517.82239
BDI,1984,602000000,987000000,777.76019,525.68188
BDI,1985,673000000,1150000000,847.70178,590.54248
BDI,1986,694000000,1200000000,852.00092,606.7691
BDI,1987,733000000,1130000000,881.06158,644.78998
BDI,1988,769000000,1080000000,896.13971,678.32031
BDI,1989,780000000,1110000000,878.28833,690.03387
BDI,1990,807000000,1130000000,881.51123,719.35309
BDI,1991,847000000,1170000000,897.94153,758.3783
BDI,1992,853000000,1080000000,884.19989,763.96851
BDI,1993,805000000,939000000,812.06342,717.76099
BDI,1994,774000000,925000000,764.48322,689.95697
BDI,1995,717000000,1000000000,693.90082,639.02612
BDI,1996,657000000,900000000,624.55212,586.11133
BDI,1997,660000000,957000000,612.62769,584.52411
BDI,1998,691000000,878000000,626.87543,604.76349
BDI,1999,685000000,714000000,612.64587,599.57599
BDI,2000,679000000,679000000,599.5885,599.5885
BDI,2001,700000000,689000000,602.67731,617.02692
BDI,2002,732000000,628000000,622.54852,647.18488
BDI,2003,723000000,596000000,610.93591,646.70471
BDI,2004,763000000,657000000,624.80298,675.11047
BEL,1976,137000000000,68300000000,17279.6,6938.6758
BEL,1977,137000000000,79600000000,17415.67,7437.0132
BEL,1978,141000000000,97200000000,17916.699,8188.5498
BEL,1979,145000000000,112000000000,18407.98,9111.9521
BEL,1980,151000000000,122000000000,19263.02,10401.21
BEL,1981,151000000000,101000000000,19184.09,11331.51
BEL,1982,152000000000,88400000000,19382,12145.72
BEL,1983,152000000000,83700000000,19452.23,12671.78
BEL,1984,156000000000,80000000000,19895.49,13447.2
BEL,1985,158000000000,82800000000,20154.311,14040.29
BEL,1986,161000000000,115000000000,20496.08,14596.68
BEL,1987,165000000000,144000000000,20887.381,15286.07
BEL,1988,173000000000,156000000000,21806.85,16506.381
BEL,1989,179000000000,158000000000,22549.59,17716.26
BEL,1990,184000000000,197000000000,23160.26,18899.82
BEL,1991,188000000000,202000000000,23408.789,19770.461
BEL,1992,191000000000,226000000000,23676.971,20457.43
BEL,1993,189000000000,216000000000,23129.65,20443.68
BEL,1994,195000000000,235000000000,23619.75,21317.16
BEL,1995,200000000000,277000000000,24189.131,22276.211
