ccode,pcode,border
ABW,ABW,
ABW,AFG,0
ABW,AGO,0
ABW,AIA,0
ABW,ALB,0
ABW,AND,0
ABW,ANT,0
ABW,ARG,0
ABW,ARM,0
ABW,ASM,0
ABW,ATA,0
ABW,ATF,0
ABW,ATG,0
ABW,AUS,0
ABW,AUT,0
ABW,AZE,0
ABW,BDI,0
ABW,BEL,0
ABW,BEN,0
ABW,BFA,0
ABW,BGD,0
ABW,BGR,0
ABW,BHR,0
ABW,BHS,0
ABW,BIH,0
ABW,BLR,0
ABW,BLX,0
ABW,BLZ,0
ABW,BMU,0
ABW,BOL,0
ABW,BRA,0
ABW,BRB,0
ABW,BRN,0
ABW,BTN,0
ABW,BUL,0
ABW,BUR,0
ABW,BVT,0
ABW,BWA,0
ABW,BYS,0
ABW,CAF,0
ABW,CAN,0
ABW,CCK,0
ABW,CHE,0
ABW,CHL,0
ABW,CHN,0
ABW,CIV,0
ABW,CMR,0
ABW,COG,0
ABW,COK,0
ABW,COL,0
ABW,COM,0
ABW,CPV,0
ABW,CRI,0
ABW,CSK,0
ABW,CUB,0
ABW,CXR,0
ABW,CYM,0
ABW,CYP,0
ABW,CZE,0
ABW,CZK,0
ABW,DDR,0
ABW,DEU,0
ABW,DJI,0
ABW,DMA,0
ABW,DNK,0
ABW,DOM,0
ABW,DZA,0
ABW,ECU,0
ABW,EGY,0
ABW,ERI,0
ABW,ESH,0
ABW,ESP,0
ABW,EST,0
ABW,ETF,0
ABW,ETH,0
ABW,FIN,0
ABW,FJI,0
ABW,FLK,0
ABW,FRA,0
ABW,FRO,0
ABW,FSM,0
ABW,FXX,0
ABW,GAB,0
ABW,GBR,0
ABW,GEO,0
ABW,GER,0
ABW,GHA,0
ABW,GIB,0
ABW,GIN,0
ABW,GLP,0
ABW,GMB,0
ABW,GNB,0
ABW,GNQ,0
ABW,GRC,0
ABW,GRD,0
ABW,GRL,0
ABW,GTM,0
ABW,GUF,0
ABW,GUM,0
ABW,GUY,0
ABW,HKG,0
ABW,HMD,0
ABW,HND,0
ABW,HRV,0
ABW,HTI,0
ABW,HUN,0
ABW,IDN,0
ABW,IND,0
ABW,IOT,0
ABW,IRL,0
ABW,IRN,0
ABW,IRQ,0
ABW,ISL,0
ABW,ISR,0
ABW,ITA,0
ABW,JAM,0
ABW,JOR,0
ABW,JPN,0
ABW,KAZ,0
ABW,KEN,0
ABW,KGZ,0
ABW,KHM,0
ABW,KIR,0
ABW,KNA,0
ABW,KOR,0
ABW,KWT,0
ABW,LAO,0
ABW,LBN,0
ABW,LBR,0
ABW,LBY,0
ABW,LCA,0
ABW,LIE,0
ABW,LKA,0
ABW,LSO,0
ABW,LTU,0
ABW,LUX,0
ABW,LVA,0
ABW,MAC,0
ABW,MAR,0
ABW,MCO,0
ABW,MDA,0
ABW,MDG,0
ABW,MDV,0
ABW,MEX,0
ABW,MHL,0
ABW,MKD,0
ABW,MLI,0
ABW,MLT,0
ABW,MMR,0
ABW,MNG,0
ABW,MNP,0
ABW,MOZ,0
ABW,MRT,0
ABW,MSR,0
ABW,MTQ,0
ABW,MUS,0
ABW,MWI,0
ABW,MYS,0
ABW,MYT,0
ABW,NAM,0
ABW,NCL,0
ABW,NER,0
ABW,NFK,0
ABW,NGA,0
ABW,NIC,0
ABW,NIU,0
ABW,NLD,0
ABW,NOR,0
ABW,NPL,0
ABW,NRU,0
ABW,NTZ,0
ABW,NZL,0
ABW,OMN,0
ABW,PAK,0
ABW,PAN,0
ABW,PCN,0
ABW,PER,0
ABW,PHL,0
ABW,PLW,0
ABW,PNG,0
ABW,POL,0
ABW,PRI,0
ABW,PRK,0
ABW,PRT,0
ABW,PRY,0
ABW,PYF,0
ABW,QAT,0
ABW,REU,0
ABW,ROM,0
ABW,RUS,0
ABW,RWA,0
ABW,SAU,0
ABW,SDN,0
ABW,SEN,0
ABW,SGP,0
ABW,SGS,0
ABW,SHN,0
ABW,SJM,0
ABW,SLB,0
ABW,SLE,0
ABW,SLO,0
ABW,SLV,0
ABW,SMR,0
ABW,SOM,0
ABW,SPM,0
ABW,STP,0
ABW,SUN,0
ABW,SUR,0
ABW,SUV,0
ABW,SVK,0
ABW,SVN,0
ABW,SWE,0
ABW,SWZ,0
ABW,SYC,0
ABW,SYR,0
ABW,TCA,0
ABW,TCD,0
ABW,TGO,0
ABW,THA,0
ABW,TJK,0
ABW,TKL,0
ABW,TKM,0
ABW,TMP,0
ABW,TON,0
ABW,TTO,0
ABW,TUN,0
ABW,TUR,0
ABW,TUV,0
ABW,TWN,0
ABW,TZA,0
ABW,UAE,0
ABW,UGA,0
ABW,UKR,0
ABW,UMI,0
ABW,URK,0
ABW,URY,0
ABW,USA,0
ABW,UZB,0
ABW,VAT,0
ABW,VCT,0
ABW,VEN,0
ABW,VGB,0
ABW,VIR,0
ABW,VNM,0
ABW,VUT,0
ABW,WLF,0
ABW,WSM,0
ABW,YEM,0
ABW,YMD,0
ABW,YUG,0
ABW,ZAF,0
ABW,ZAR,0
ABW,ZMB,0
ABW,ZWE,0
AFG,ABW,0
AFG,AFG,
AFG,AGO,0
AFG,AIA,0
AFG,ALB,0
AFG,AND,0
AFG,ANT,0
AFG,ARG,0
AFG,ARM,0
AFG,ASM,0
AFG,ATA,0
AFG,ATF,0
AFG,ATG,0
AFG,AUS,0
AFG,AUT,0
AFG,AZE,0
AFG,BDI,0
AFG,BEL,0
AFG,BEN,0
AFG,BFA,0
AFG,BGD,0
AFG,BGR,0
AFG,BHR,0
AFG,BHS,0
AFG,BIH,0
AFG,BLR,0
AFG,BLX,0
AFG,BLZ,0
AFG,BMU,0
AFG,BOL,0
AFG,BRA,0
AFG,BRB,0
AFG,BRN,0
AFG,BTN,0
AFG,BUL,0
AFG,BUR,0
AFG,BVT,0
AFG,BWA,0
AFG,BYS,0
AFG,CAF,0
AFG,CAN,0
AFG,CCK,0
AFG,CHE,0
AFG,CHL,0
AFG,CHN,1
AFG,CIV,0
AFG,CMR,0
AFG,COG,0
AFG,COK,0
AFG,COL,0
AFG,COM,0
AFG,CPV,0
AFG,CRI,0
AFG,CSK,0
AFG,CUB,0
AFG,CXR,0
AFG,CYM,0
AFG,CYP,0
AFG,CZE,0
AFG,CZK,0
AFG,DDR,0
AFG,DEU,0
AFG,DJI,0
AFG,DMA,0
AFG,DNK,0
AFG,DOM,0
AFG,DZA,0
AFG,ECU,0
AFG,EGY,0
AFG,ERI,0
AFG,ESH,0
AFG,ESP,0
AFG,EST,0
AFG,ETF,0
AFG,ETH,0
AFG,FIN,0
AFG,FJI,0
AFG,FLK,0
AFG,FRA,0
AFG,FRO,0
AFG,FSM,0
AFG,FXX,0
AFG,GAB,0
AFG,GBR,0
AFG,GEO,0
AFG,GER,0
AFG,GHA,0
AFG,GIB,0
AFG,GIN,0
AFG,GLP,0
AFG,GMB,0
AFG,GNB,0
AFG,GNQ,0
AFG,GRC,0
AFG,GRD,0
AFG,GRL,0
AFG,GTM,0
AFG,GUF,0
AFG,GUM,0
AFG,GUY,0
AFG,HKG,0
AFG,HMD,0
AFG,HND,0
AFG,HRV,0
AFG,HTI,0
AFG,HUN,0
AFG,IDN,0
AFG,IND,0
AFG,IOT,0
AFG,IRL,0
AFG,IRN,1
AFG,IRQ,0
AFG,ISL,0
AFG,ISR,0
AFG,ITA,0
AFG,JAM,0
AFG,JOR,0
AFG,JPN,0
AFG,KAZ,0
AFG,KEN,0
AFG,KGZ,0
AFG,KHM,0
AFG,KIR,0
AFG,KNA,0
AFG,KOR,0
AFG,KWT,0
AFG,LAO,0
AFG,LBN,0
AFG,LBR,0
AFG,LBY,0
AFG,LCA,0
AFG,LIE,0
AFG,LKA,0
AFG,LSO,0
AFG,LTU,0
AFG,LUX,0
AFG,LVA,0
AFG,MAC,0
AFG,MAR,0
AFG,MCO,0
