ccode,pcode,km
ABW,ABW,
ABW,AFG,13295
ABW,AGO,9497
ABW,ALB,9113
ABW,AND,7574
ABW,ARE,12750
ABW,ARG,5352
ABW,ARM,11131
ABW,AUS,15364
ABW,AUT,8731
ABW,AZE,11528
ABW,BDI,11128
ABW,BEN,7992
ABW,BFA,7045
ABW,BGD,15507
ABW,BGR,9365
ABW,BHR,12323
ABW,BHS,1604
ABW,BIH,8953
ABW,BLR,9410
ABW,BLX,7857
ABW,BLZ,2032
ABW,BMU,13135
ABW,BOL,3196
ABW,BRA,3966
ABW,BRN,18101
ABW,BTN,15101
ABW,BWA,11150
ABW,CAF,9716
ABW,CAN,3702
ABW,CHE,8145
ABW,CHL,5083
ABW,CHN,14234
ABW,CIV,7369
ABW,CMR,9003
ABW,COG,9603
ABW,COL,1042
ABW,CRI,5841
ABW,CSK,8571
ABW,CUB,1760
ABW,CYP,10423
ABW,CZE,8571
ABW,DDR,8488
ABW,DEU,8488
ABW,DJI,12200
ABW,DMA,993
ABW,DNK,8419
ABW,DOM,667
ABW,DZA,7703
ABW,ECU,1661
ABW,EGY,10393
ABW,ERI,11638
ABW,ESP,7162
ABW,EST,9113
ABW,ETH,11794
ABW,FIN,9115
ABW,FJI,12701
ABW,FRA,7694
ABW,GAB,8875
ABW,GBR,7565
ABW,GEO,11078
ABW,GER,8488
ABW,GHA,7716
ABW,GIN,6194
ABW,GMB,5798
ABW,GNB,5898
ABW,GRC,9485
ABW,GRD,905
ABW,GTM,2206
ABW,GUF,2151
ABW,GUY,6023
ABW,HKG,16167
ABW,HND,1862
ABW,HRV,8741
ABW,HTI,707
ABW,HUN,8951
ABW,IDN,19255
ABW,IND,14301
ABW,IRL,7200
ABW,IRN,11904
ABW,IRQ,11439
ABW,ISL,6866
ABW,ISR,10708
ABW,ITA,8486
ABW,JAM,961
ABW,JOR,10743
ABW,JPN,13890
ABW,KAZ,13008
ABW,KEN,11854
ABW,KGZ,12921
ABW,KHM,17346
ABW,KNA,966
ABW,KOR,14240
ABW,KWT,11949
ABW,LAO,16615
ABW,LBN,10650
ABW,LBR,6576
ABW,LBY,8669
ABW,LCA,1000
ABW,LKA,16087
ABW,LTU,9248
ABW,LUX,7984
ABW,LVA,9126
ABW,MAC,15129
ABW,MAR,6746
ABW,MDA,9692
ABW,MDG,13319
ABW,MDV,15600
ABW,MEX,3202
ABW,MKD,9172
ABW,MLI,6732
ABW,MLT,8739
ABW,MMR,16498
ABW,MNG,13333
ABW,MOZ,11847
ABW,MRT,5837
ABW,MUS,14376
ABW,MWI,11787
ABW,MYS,18091
ABW,NAM,10253
ABW,NCL,13991
ABW,NER,7803
ABW,NGA,8069
ABW,NIC,1755
ABW,NLD,7894
ABW,NOR,8309
ABW,NPL,14878
ABW,NZL,13053
ABW,OMN,13168
ABW,PAK,13837
ABW,PAN,1095
ABW,PER,2824
ABW,PHL,16852
ABW,PNG,15977
ABW,POL,9015
ABW,PRK,14108
ABW,PRT,6654
ABW,PRY,4395
ABW,PYF,9322
ABW,QAT,12455
ABW,ROM,9550
ABW,RUS,9965
ABW,RWA,11172
ABW,SAU,12031
ABW,SDN,10957
ABW,SEN,5714
ABW,SER,9094
ABW,SGP,18387
ABW,SLB,14325
ABW,SLE,6240
ABW,SLV,2082
ABW,SOM,12716
ABW,SUR,1808
ABW,SVK,8797
ABW,SVN,8622
ABW,SWE,8740
ABW,SWZ,11725
ABW,SYC,13996
ABW,SYR,10736
ABW,TCD,9217
ABW,TGO,7847
ABW,THA,16988
ABW,TJK,12995
ABW,TKM,12210
ABW,TON,13171
ABW,TTO,980
ABW,TUN,8341
ABW,TUR,10203
ABW,TWN,15707
ABW,TZA,12267
ABW,UGA,11370
ABW,UKR,9683
ABW,URY,5427
ABW,USA,3039
ABW,UZB,12761
ABW,VEN,441
ABW,VNM,16305
ABW,VUT,13765
ABW,YDR,12173
ABW,YEM,12173
ABW,YUG,9094
ABW,ZAF,10629
ABW,ZAR,9608
ABW,ZMB,11267
ABW,ZWE,11602
AFG,ABW,13295
AFG,AFG,
AFG,AGO,7580
AFG,ALB,4348
AFG,AND,5838
AFG,ARE,1823
AFG,ARG,15272
AFG,ARM,2270
AFG,AUS,11356
