ccode,ldlock,island
AGO,0,0
ARE,0,0
ARG,0,0
AUS,0,1
AUT,1,0
BDI,1,0
BEL,0,0
BEN,0,0
BFA,1,0
BGD,0,0
BOL,1,0
BRA,0,0
BRN,0,0
BWA,1,0
CAF,1,0
CAN,0,0
CHE,1,0
CHL,0,0
CHN,0,0
CIV,0,0
CMR,0,0
COG,0,0
COL,0,0
CPV,0,1
CRI,0,0
CYP,0,1
DEU,0,0
DNK,0,0
DOM,0,0
DZA,0,0
ECU,0,0
EGY,0,0
ESP,0,0
ETH,1,0
FIN,0,0
FRA,0,0
GAB,0,0
GBR,0,1
GHA,0,0
GIN,0,0
GMB,0,0
GNB,0,0
GRC,0,0
GTM,0,0
GUY,0,0
HKG,0,0
HND,0,0
HTI,0,0
HUN,1,0
IDN,0,1
IND,0,0
IRL,0,1
IRN,0,0
ISL,0,1
ISR,0,0
ITA,0,0
JAM,0,1
JPN,0,1
KEN,0,0
KOR,0,0
LBR,0,0
LKA,0,1
LSO,1,0
LUX,1,0
MAR,0,0
MDG,0,1
MEX,0,0
MLI,1,0
MLT,0,1
MMR,0,0
MOZ,0,0
MUS,0,1
MWI,1,0
MYS,0,0
NER,1,0
NGA,0,0
NIC,0,0
NLD,0,0
NOR,0,0
NPL,1,0
NZL,0,1
PAK,0,0
PAN,0,0
PER,0,0
PHL,0,1
PNG,0,0
POL,0,0
PRT,0,0
PRY,1,0
ROM,0,0
SEN,0,0
SGP,0,0
SLE,0,0
SLV,0,0
SWE,0,0
SWZ,1,0
SYR,0,0
TCD,1,0
TGO,0,0
THA,0,0
TTO,0,1
TUN,0,0
TUR,0,0
TWN,0,1
TZA,0,0
UGA,1,0
URY,0,0
USA,0,0
VEN,0,0
VNM,0,0
YEM,0,0
ZAF,0,0
ZMB,1,0
ZWE,1,0
