ccode,pcode,name,lang1,lang2,com_lang
ABW,ABW,Aruba,,,0
ABW,AFG,Aruba,,Persian,0
ABW,AGO,Aruba,,Portuguese,0
ABW,AIA,Aruba,,Spanish,0
ABW,ALB,Aruba,,,0
ABW,AND,Aruba,,Spanish,0
ABW,ANT,Aruba,,,0
ABW,ARE,Aruba,,Arabic,0
ABW,ARG,Aruba,,Spanish,0
ABW,ARM,Aruba,,15,0
ABW,ASM,Aruba,,English,0
ABW,ATA,Aruba,,,0
ABW,ATF,Aruba,,French,0
ABW,ATG,Aruba,,Spanish,0
ABW,AUS,Aruba,,English,0
ABW,AUT,Aruba,,German,0
ABW,AZE,Aruba,,15,0
ABW,BDI,Aruba,,French,0
ABW,BEL,Aruba,,French,0
ABW,BEN,Aruba,,French,0
ABW,BFA,Aruba,,French,0
ABW,BGD,Aruba,,,0
ABW,BGR,Aruba,,,0
ABW,BHR,Aruba,,Arabic,0
ABW,BHS,Aruba,,English,0
ABW,BIH,Aruba,,,0
ABW,BLR,Aruba,,15,0
ABW,BLZ,Aruba,,English,0
ABW,BMU,Aruba,,English,0
ABW,BOL,Aruba,,Spanish,0
ABW,BRA,Aruba,,Portuguese,0
ABW,BRB,Aruba,,English,0
ABW,BRN,Aruba,,Malay,0
ABW,BTN,Aruba,,Burmese,0
ABW,BUR,Aruba,,,0
ABW,BVT,Aruba,,,0
ABW,BWA,Aruba,,,0
ABW,BYS,Aruba,,15,0
ABW,CAF,Aruba,,French,0
ABW,CAN,Aruba,,English,0
ABW,CCK,Aruba,,English,0
ABW,CHE,Aruba,,German,0
ABW,CHL,Aruba,,Spanish,0
ABW,CHN,Aruba,,Chinese,0
ABW,CIV,Aruba,,French,0
ABW,CMR,Aruba,,French,0
ABW,COG,Aruba,,French,0
ABW,COK,Aruba,,English,0
ABW,COL,Aruba,,Spanish,0
ABW,COM,Aruba,,Arabic,0
ABW,CPV,Aruba,,Portuguese,0
ABW,CRI,Aruba,,Spanish,0
ABW,CSK,Aruba,,,0
ABW,CUB,Aruba,,Spanish,0
ABW,CXR,Aruba,,English,0
ABW,CYM,Aruba,,English,0
ABW,CYP,Aruba,,Greek,0
ABW,CZE,Aruba,,,0
ABW,DDR,Aruba,,German,0
ABW,DEU,Aruba,,German,0
ABW,DJI,Aruba,,French,0
ABW,DMA,Aruba,,Spanish,0
ABW,DNK,Aruba,,,0
ABW,DOM,Aruba,,Spanish,0
ABW,DZA,Aruba,,Arabic,0
ABW,ECU,Aruba,,Spanish,0
ABW,EGY,Aruba,,Arabic,0
ABW,ERI,Aruba,,,0
ABW,ESH,Aruba,,Arabic,0
ABW,ESP,Aruba,,Spanish,0
ABW,EST,Aruba,,15,0
ABW,ETH,Aruba,,,0
ABW,FIN,Aruba,,Swedish,0
ABW,FJI,Aruba,,English,0
ABW,FLK,Aruba,,English,0
ABW,FRA,Aruba,,French,0
ABW,FRO,Aruba,,English,0
ABW,FSM,Aruba,,,0
ABW,FXX,Aruba,,French,0
ABW,GAB,Aruba,,French,0
ABW,GBR,Aruba,,English,0
ABW,GEO,Aruba,,15,0
ABW,GHA,Aruba,,English,0
ABW,GIB,Aruba,,English,0
ABW,GIN,Aruba,,French,0
ABW,GLP,Aruba,,French,0
ABW,GMB,Aruba,,English,0
ABW,GNB,Aruba,,Portuguese,0
ABW,GNQ,Aruba,,Spanish,0
ABW,GRC,Aruba,,Greek,0
ABW,GRD,Aruba,,Spanish,0
ABW,GRL,Aruba,,,0
ABW,GTM,Aruba,,Spanish,0
ABW,GUF,Aruba,,French,0
ABW,GUM,Aruba,,English,0
ABW,GUY,Aruba,,English,0
ABW,HKG,Aruba,,English,0
ABW,HMD,Aruba,,English,0
ABW,HND,Aruba,,Spanish,0
ABW,HRV,Aruba,,,0
ABW,HTI,Aruba,,French,0
ABW,HUN,Aruba,,,0
ABW,IDN,Aruba,,,0
ABW,IND,Aruba,,English,0
ABW,IOT,Aruba,,English,0
ABW,IRL,Aruba,,English,0
ABW,IRN,Aruba,,Persian,0
ABW,IRQ,Aruba,,Arabic,0
ABW,ISL,Aruba,,,0
ABW,ISR,Aruba,,,0
ABW,ITA,Aruba,,,0
ABW,JAM,Aruba,,English,0
ABW,JOR,Aruba,,Arabic,0
ABW,JPN,Aruba,,,0
ABW,KAZ,Aruba,,15,0
ABW,KEN,Aruba,,English,0
ABW,KGZ,Aruba,,15,0
ABW,KHM,Aruba,,,0
ABW,KIR,Aruba,,English,0
ABW,KNA,Aruba,,English,0
ABW,KOR,Aruba,,Korean,0
ABW,KWT,Aruba,,Arabic,0
ABW,LAO,Aruba,,,0
ABW,LBN,Aruba,,Arabic,0
ABW,LBR,Aruba,,English,0
ABW,LBY,Aruba,,Arabic,0
ABW,LCA,Aruba,,Spanish,0
ABW,LIE,Aruba,,German,0
ABW,LKA,Aruba,,,0
ABW,LSO,Aruba,,,0
ABW,LTU,Aruba,,15,0
ABW,LUX,Aruba,,French,0
ABW,LVA,Aruba,,15,0
ABW,MAC,Aruba,,Portuguese,0
ABW,MAR,Aruba,,Arabic,0
ABW,MCO,Aruba,,French,0
ABW,MDA,Aruba,,15,0
ABW,MDG,Aruba,,French,0
ABW,MDV,Aruba,,English,0
ABW,MEX,Aruba,,Spanish,0
ABW,MHL,Aruba,,English,0
ABW,MKD,Aruba,,,0
ABW,MLI,Aruba,,French,0
ABW,MLT,Aruba,,English,0
ABW,MMR,Aruba,,Burmese,0
ABW,MNG,Aruba,,,0
ABW,MNP,Aruba,,English,0
ABW,MOZ,Aruba,,Portuguese,0
ABW,MRT,Aruba,,Arabic,0
ABW,MSR,Aruba,,French,0
ABW,MTQ,Aruba,,French,0
ABW,MUS,Aruba,,English,0
ABW,MWI,Aruba,,English,0
ABW,MYS,Aruba,,Malay,0
ABW,MYT,Aruba,,French,0
ABW,NAM,Aruba,,,0
ABW,NCL,Aruba,,French,0
ABW,NER,Aruba,,French,0
ABW,NFK,Aruba,,English,0
ABW,NGA,Aruba,,English,0
ABW,NIC,Aruba,,Spanish,0
ABW,NIU,Aruba,,,0
ABW,NLD,Aruba,,Dutch,0
ABW,NOR,Aruba,,,0
ABW,NPL,Aruba,,,0
ABW,NRU,Aruba,,,0
ABW,NTZ,Aruba,,,0
ABW,NZL,Aruba,,English,0
ABW,OMN,Aruba,,Arabic,0
ABW,PAK,Aruba,,,0
ABW,PAN,Aruba,,Spanish,0
ABW,PCN,Aruba,,,0
ABW,PER,Aruba,,Spanish,0
ABW,PHL,Aruba,,English,0
ABW,PLW,Aruba,,English,0
ABW,PNG,Aruba,,,0
ABW,POL,Aruba,,,0
ABW,PRI,Aruba,,English,0
ABW,PRK,Aruba,,Korean,0
ABW,PRT,Aruba,,Portuguese,0
ABW,PRY,Aruba,,Spanish,0
ABW,PYF,Aruba,,French,0
ABW,QAT,Aruba,,Arabic,0
ABW,REU,Aruba,,French,0
ABW,ROM,Aruba,,,0
ABW,RUS,Aruba,,15,0
ABW,RWA,Aruba,,French,0
ABW,SAU,Aruba,,Arabic,0
ABW,SDN,Aruba,,Arabic,0
ABW,SEN,Aruba,,French,0
ABW,SGP,Aruba,,Malay,0
ABW,SGS,Aruba,,English,0
ABW,SHN,Aruba,,English,0
ABW,SJM,Aruba,,English,0
ABW,SLB,Aruba,,English,0
ABW,SLE,Aruba,,English,0
ABW,SLV,Aruba,,Spanish,0
ABW,SMR,Aruba,,,0
ABW,SOM,Aruba,,,0
